document_id,content
0,"A nurse anesthetist is a nurse who specializes in the administration of anesthesia. In the United States, a certified registered nurse anesthetist (CRNA) is an advanced practice registered nurse (APRN) who has acquired graduate-level education and board certification in anesthesia. Today, nurse anesthetists practice in all 50 United States and administer approximately 34 million anesthetics each year (AANA). CRNA practice varies from state to state, and is also dependent on the institution in which CRNAs practice."
1,"Anaesthetic Nurse. The anaesthetic nurse provides the primary support to the patient and anaesthetist throughout anaesthetic process. With the anaesthetist supervision, the anaesthetic nurse ensures the safety the patient during the course of the anaesthetic. Perioperative nurses care for patients in the period prior, during and following surgery or interventional procedures, perioperative nursing encompasses a range of specialised roles including, but not limited to:"
2,"Career Overview. A nurse anesthetist, or certified registered nurse anesthetist (CRNA), is a licensed professional nurse who provides the same anesthesia services as an anesthesiologist (MD). After completing extensive education and training, CRNAs become nationally certified and may then practice in all 50 states. A nurse anesthetist, or certified registered nurse anesthetist (CRNA), is a licensed professional nurse who provides the same anesthesia services as an anesthesiologist (MD)"
3,"Administering Anesthesiology. A nurse anesthetist is a specialty-trained registered nurse who administers anesthesia to patients who are undergoing surgeries or special procedures. Nurse anesthetists have a unique approach to patient care, grounded in a nursing perspective. CRNAs are anesthesia professionals who safely administer more than 34 million anesthetics to patients each year in the United States, according to the American Association of Nurse Anesthetists (AANA) 2012 Practice Profile Survey."
4,"In Kansas, CRNAs make up 70 percent of the anesthesia providers, and 83 percent of the hospitals in our state rely exclusively on CRNAs for anesthesia care. Generally, the path to becoming a CRNA begins with a 4-year undergraduate degree in nursing or another field. Although it is not required to possess a degree in nursing, a current license as a registered nurse is required to enter a nurse anesthesia program."
5,"CRNAs administer anesthesia and anesthesia-related care in four general categories: (1) pre-anesthetic preparation and evaluation; (2) anesthesia induction, maintenance and emergence; (3) post-anesthesia care; and (4) perianesthetic and clinical support functions. Generally, the path to becoming a CRNA begins with a 4-year undergraduate degree in nursing or another field. Although it is not required to possess a degree in nursing, a current license as a registered nurse is required to enter a nurse anesthesia program."
6,A nurse anesthetist is an advanced practice nurse who specializes in administering anesthetics to patients and coordinating their care with other medical professionals. A nurse anesthetist is a registered nurse who works closely with doctors to administer and monitor a patient's anesthesia for medical procedures.
7,"They also provide pain management and emergency services, such as airway management. The practice of anesthesia is a recognized specialty within the profession of nursing, and nurse anesthetists are essential to the healthcare workforce. Generally, the path to becoming a CRNA begins with a 4-year undergraduate degree in nursing or another field. Although it is not required to possess a degree in nursing, a current license as a registered nurse is required to enter a nurse anesthesia program."
8,"CRNAs also provide clinical support services outside of the operating room. Anesthesia and anesthesia-related services are expanding to other areas, such as MRI units, cardiac catheterization labs and lithotripsy units. Generally, the path to becoming a CRNA begins with a 4-year undergraduate degree in nursing or another field. Although it is not required to possess a degree in nursing, a current license as a registered nurse is required to enter a nurse anesthesia program."
9,"The 4 Basic Tissue Types in the Human Bodywww.exploringnature.org Tissues are groups of cells with a common structure (form) and function (job).There are four main tissues in the body – epithelium, muscle, connective tissue and nervous tissue. "
