document_id,content
0,"The first standing Committee of Correspondence was formed by Samuel Adams and twenty other Patriot leaders in November of 1772 in Boston in response to the Gaspee Gaspée, affair which had occurred the Previous june in the colony Of Rhode. island In late 1773, the Boston Committee of Correspondence was charged with managing the “tea crisis” and was the driving force of the December 16, 1773, Boston Tea Party, which was carried out by the Sons of Liberty."
1,"The first communication from the Boston Committee of Correspondence sent to the towns of Massachusetts was a list of grievances (below) they had with Britain with a request that their views be endorsed. In Boston on Monday, November 2, 1772, they organized a town meeting at Faneuil Hall and garnered enough support to vote in a resolution to create a standing Committee of Correspondence."
2,"The Boston Committee of Correspondence was formed at the Boston Town Meeting of November 2, 1772 in response to the British government’s decision to pay the governor and Superior Court judges of Massachusetts with Crown stipends, thereby making them dependent on the Crown rather than the people in assembly. With the gradual establishment of self-government and the evacuation of the British from Boston in March 1776, the Committee of Correspondence attended to public safety activities in the Boston area until the end of the Revolutionary War."
3,"Circular Letter of the Boston Committee of Correspondence; May 13, 1774. We have just received the copy of an Act of the British Parliament passed in the present session whereby the town of Boston is treated in a manner the most ignominious, cruel, and unjust. "
4,"The Boston Committee of Correspondence records, dated 1772-1784, document the Committee’s initiatives in colonial political action in Massachusetts, from the writing of the Boston Pamphlet in November 1772 through the early months of war with Great Britain in 1775, as well as the Committee's contact with other colonies. With the gradual establishment of self-government and the evacuation of the British from Boston in March 1776, the Committee of Correspondence attended to public safety activities in the Boston area until the end of the Revolutionary War."
5,"The first standing Committee of Correspondence was formed by Samuel Adams and twenty other Patriot leaders in November of 1772 in Boston in response to the Gaspee Gaspée, affair which had occurred the Previous june in the colony Of Rhode. Island Samuel adams. portrait In late 1773, the Boston Committee of Correspondence was charged with managing the “tea crisis” and was the driving force of the December 16, 1773, Boston Tea Party, which was carried out by the Sons of Liberty."
6,"In late 1773, the Boston Committee of Correspondence was charged with managing the “tea crisis” and was the driving force of the December 16, 1773 Boston Tea Party…. These Committees of Correspondence were intercolonial standing provincial governments. In late 1773, the Boston Committee of Correspondence was charged with managing the “tea crisis” and was the driving force of the December 16, 1773, Boston Tea Party, which was carried out by the Sons of Liberty."
7,"This report of the Boston Committee of Correspondence was prepared by Sam Adams and read to the Boston Town Meeting on Nov. 20, 1772. The inflammatory piece, written by the known radical and master propagandist, is a window looking into Revolutionary Boston four years before the Declaration of Independence. For example the Committee of Correspondence in Boston gave its blessing on the raiding of the Dartmouth and the destruction of its cargo that became known as the Boston Tea Party. As the revolution drew nearer, the committees became the spine of colonial interaction."
8,"The Boston Committee of Correspondence was the driving force of the December 16, 1773, Boston Tea Party, which was carried out by the Sons of Liberty. Samuel Adams was the prominent leader of both organizations. In late 1773, the Boston Committee of Correspondence was charged with managing the “tea crisis” and was the driving force of the December 16, 1773, Boston Tea Party, which was carried out by the Sons of Liberty."
9,"Kidney stones may cause cloudy urine. They can cause pus in the urine, which gives your pee that milky or cloudy look. If you have kidney stones, the pain of the stones may lead you to see a doctor more quickly than the cloudy urine. Some possible cloudy urine causes are: Food can cause a change in the consistency and color of your urine, although they are not the usual cause of cloudy urine. Blood in urine-When the blood is microscopic, it may not show bright red or dark red but rather it may appear as cloudy urine."
10,"A urinary tract infection-a UTI can cause cloudy urine. The urinary tract infection may be accompanied with burning or painful urination. A bladder infection (a more specific type of urinary tract infection), also known as Cystitis, may cause cloudy urine. Some possible cloudy urine causes are: Food can cause a change in the consistency and color of your urine, although they are not the usual cause of cloudy urine. Blood in urine-When the blood is microscopic, it may not show bright red or dark red but rather it may appear as cloudy urine."
11,"Normal urine is clear and has a straw-yellow color. When the urine does not have its characteristic clear appearance, it is often referred to as cloudy, turbid, or foamy urine. Cloudy or foamy urine may occur occasionally due to mild dehydration; when it occurs in the absence of symptoms and goes away rapidly, it is usually of little consequence. Certain conditions can cause excess protein or crystalline substances in the urine, causing it to persistently appear cloudy or foamy. Infections anywhere in the urinary tract can cause blood and pus to appear in the urine, giving it a cloudy appearance. Additionally, many of the numerous causes of blood in the urine can yield a cloudy or murky appearance to the urine due to the presence of blood"
12,"Best Answer: Yellow is NOT a normal color, nor is cloudiness normal. If your urine is yellow, you're dehydrated. The normal color should be clear or perhaps the color of lemonade (just a slight hint of yellow that can't be seen easily). This is a serious condition. The medical community either overlooks the signs of dehydration or else ignores them completely."
